,precision,accuracy,recall,duration,f1,auc,iter,fold,tune,model,dataset
1180,0.8685676471169231,0.8356164383561644,0.7833460419667316,397.6314535140991,0.8121647883959785,0.9608832970901936,1,1,10,fcnM,WESAD
1181,0.9193899782135077,0.8310502283105022,0.7577122577122576,228.20894908905032,0.8060370079844178,0.9871678104436724,2,2,10,fcnM,WESAD
1182,0.8991028295376121,0.8630136986301371,0.8334415920622816,253.8459002971649,0.8548098154397369,0.9781440923682304,3,3,10,fcnM,WESAD
1183,0.8020953956437827,0.8127853881278538,0.8406219699323149,247.3630044460297,0.8004926769462006,0.9605949993881028,4,4,10,fcnM,WESAD
1184,0.8024132730015082,0.8310502283105022,0.7974926336995303,234.0978722572327,0.7898749239950957,0.9402435350711212,5,5,10,fcnM,WESAD
1185,0.5347222222222222,0.6438356164383562,0.4595959595959596,5811.827032804488,0.4342324342324342,0.7225511169476686,1,1,10,inceptionM,WESAD
1186,0.7209302325581395,0.6849315068493149,0.5529479322582771,10566.473386287691,0.5713328573498065,0.8260170436894575,2,2,10,inceptionM,WESAD
1187,0.4665779552007097,0.6712328767123288,0.4920759317311042,3174.4338467121124,0.4630991415443712,0.744572942848805,3,3,10,inceptionM,WESAD
1188,0.5309554761130971,0.4931506849315068,0.38436555677934986,6225.390971660614,0.3428566912134987,0.6794117785497096,4,4,10,inceptionM,WESAD
1189,0.7880540858318636,0.7625570776255708,0.6128785525337249,3309.478734254837,0.6216518947851124,0.8550262645090232,5,5,10,inceptionM,WESAD
1190,0.6545993250137352,0.7579908675799086,0.6404821749649335,41.50069236755371,0.6396924768277743,0.8888612358439945,1,1,10,mcdcnnM,WESAD
1191,0.5626929012345679,0.7214611872146118,0.5911703239289446,14.938786029815676,0.5754009602615179,0.8006927381927381,2,2,10,mcdcnnM,WESAD
1192,0.8901882983536945,0.7853881278538812,0.6266509456164628,26.96818327903748,0.5979520778526165,0.8915835898594519,3,3,10,mcdcnnM,WESAD
1193,0.6458092374122909,0.7579908675799086,0.6470130004612763,22.21623158454895,0.6415378654450912,0.8382932305346099,4,4,10,mcdcnnM,WESAD
1194,0.7825552443199503,0.817351598173516,0.7207866173383414,35.87630176544189,0.7360196356524386,0.8968253127735887,5,5,10,mcdcnnM,WESAD
1195,0.8907135647177576,0.7762557077625569,0.6240715637267361,577.792489528656,0.6265343126195908,0.9389797320831804,1,1,10,resnetM,WESAD
1196,0.8947510822510822,0.817351598173516,0.7130696527248251,405.6304001808167,0.7566878335814623,0.8802140698692423,2,2,10,resnetM,WESAD
1197,0.7110219181907023,0.7671232876712328,0.7097607011400114,376.9281075000763,0.7103492147056243,0.8645153774464119,3,3,10,resnetM,WESAD
1198,0.8520847891917075,0.7488584474885844,0.6082163668370565,380.9073467254639,0.6200939628846606,0.9493078501699193,4,4,10,resnetM,WESAD
